Model,Data Type,Accuracy,Precision,Recall,F1 Score,ROC-AUC
logistic,imbalance,0.9990690812007096,0.835820895522388,0.5714285714285714,0.6787878787878788,0.9740106969153457
decision_tree,imbalance,0.9989988231781216,0.7029702970297029,0.7244897959183674,0.7135678391959799,0.8619809760800599
random_forest,imbalance,0.9994379358192964,0.8837209302325582,0.7755102040816326,0.8260869565217391,0.952647926417862
xgboost,imbalance,0.9993852423023554,0.8888888888888888,0.7346938775510204,0.8044692737430168,0.9816999800712051
logistic,smote,0.9784483515711451,0.06809487375669472,0.9081632653061225,0.12669039145907474,0.9812448494837365
decision_tree,smote,0.9973301951416578,0.365,0.7448979591836735,0.4899328859060403,0.8713317103035461
random_forest,smote,0.9993325487854144,0.8191489361702128,0.7857142857142857,0.8020833333333334,0.9628750787726019
xgboost,smote,0.9990866457063566,0.7053571428571429,0.8061224489795918,0.7523809523809524,0.9740618654429309
logistic,adasyn,0.9384364077073051,0.025355252159375872,0.9285714285714286,0.049362625440737724,0.9797413026968508
decision_tree,adasyn,0.9975409692094216,0.38461538461538464,0.7142857142857143,0.5,0.8561575487941284
random_forest,adasyn,0.9993325487854144,0.8333333333333334,0.7653061224489796,0.7978723404255319,0.9737467750362219
xgboost,adasyn,0.9991042102120036,0.7079646017699115,0.8163265306122449,0.7582938388625592,0.9744388069294754
